epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,7.44432,1.78444,6.97153,0.02129,0.00029,0.13333,0.00023,8e-05,2.11353,11.9843,0.03583,7.93333e-05,7.93333e-05,7.93333e-05
2,16.186,1.87477,8.06943,0.0245,0.00029,0.13333,0.00023,8e-05,2.11353,11.9843,0.03583,0.000235644,0.000235644,0.000235644
3,25.0707,1.75124,6.88736,0.02504,0.00029,0.13333,0.00023,8e-05,2.11353,11.9843,0.03583,0.000388813,0.000388813,0.000388813
4,33.7848,1.54596,7.3359,0.0273,0.00027,0.13333,0.0002,0.00013,1.60748,11.0872,0.02649,0.000461863,0.000461863,0.000461863
5,42.3574,1.29506,6.93044,0.01813,0.00027,0.13333,0.0002,0.00013,1.60748,11.0872,0.02649,0.00045715,0.00045715,0.00045715
6,50.6928,1.61716,6.70981,0.0212,0.00027,0.13333,0.0002,0.00013,1.60748,11.0872,0.02649,0.000452438,0.000452438,0.000452438
7,58.9766,1.78107,8.30009,0.02451,0.00027,0.13333,0.0002,0.00013,1.60748,11.0872,0.02649,0.000447726,0.000447726,0.000447726
8,67.751,1.67135,6.1973,0.01962,0.00026,0.13333,0.00057,0.00027,1.6611,11.1559,0.02621,0.000443013,0.000443013,0.000443013
9,76.1129,1.42893,7.0642,0.01556,0.00026,0.13333,0.00057,0.00027,1.6611,11.1559,0.02621,0.000438301,0.000438301,0.000438301
10,84.5932,1.99557,8.48553,0.0326,0.00026,0.13333,0.00057,0.00027,1.6611,11.1559,0.02621,0.000433588,0.000433588,0.000433588
11,93.2991,1.5781,6.74461,0.02266,0.00026,0.13333,0.06711,0.05363,1.53181,10.9212,0.02414,0.000428876,0.000428876,0.000428876
12,101.809,1.46531,6.96979,0.02174,0.00026,0.13333,0.06711,0.05363,1.53181,10.9212,0.02414,0.000424164,0.000424164,0.000424164
13,110.05,1.33437,6.12045,0.016,0.00026,0.13333,0.06711,0.05363,1.53181,10.9212,0.02414,0.000419451,0.000419451,0.000419451
14,118.991,1.73018,7.55251,0.02006,0.00026,0.13333,0.06711,0.05363,1.53181,10.9212,0.02414,0.000414739,0.000414739,0.000414739
15,127.777,1.09956,8.50867,0.0195,0.00026,0.13333,0.06711,0.04694,1.41381,10.7437,0.02204,0.000410026,0.000410026,0.000410026
16,136.882,1.2428,7.42597,0.01791,0.00026,0.13333,0.06711,0.04694,1.41381,10.7437,0.02204,0.000405314,0.000405314,0.000405314
17,146.467,1.84566,6.25145,0.02438,0.00026,0.13333,0.06711,0.04694,1.41381,10.7437,0.02204,0.000400602,0.000400602,0.000400602
18,155.9,1.58326,8.39756,0.02235,0.20026,0.33333,0.2661,0.19961,1.29072,10.5667,0.02011,0.000395889,0.000395889,0.000395889
19,168.573,1.11887,6.45963,0.01668,0.20026,0.33333,0.2661,0.19961,1.29072,10.5667,0.02011,0.000391177,0.000391177,0.000391177
20,177.927,1.36955,7.79742,0.02077,0.20026,0.33333,0.2661,0.19961,1.29072,10.5667,0.02011,0.000386464,0.000386464,0.000386464
21,188.891,1.50428,7.94603,0.02303,0.20026,0.33333,0.2661,0.19961,1.29072,10.5667,0.02011,0.000381752,0.000381752,0.000381752
22,199.097,1.43249,7.53069,0.02732,0.05027,0.33333,0.26609,0.19299,1.07407,10.3265,0.01471,0.00037704,0.00037704,0.00037704
23,208.593,1.35125,5.88137,0.01688,0.05027,0.33333,0.26609,0.19299,1.07407,10.3265,0.01471,0.000372327,0.000372327,0.000372327
24,217.621,1.47821,5.87151,0.01722,0.05027,0.33333,0.26609,0.19299,1.07407,10.3265,0.01471,0.000367615,0.000367615,0.000367615
25,226.473,1.33727,6.76855,0.02207,0.2404,0.44,0.30526,0.20853,1.00265,10.1837,0.01429,0.000362902,0.000362902,0.000362902
26,235.155,1.80331,6.7248,0.02368,0.2404,0.44,0.30526,0.20853,1.00265,10.1837,0.01429,0.00035819,0.00035819,0.00035819
27,243.823,1.13996,6.43954,0.02196,0.2404,0.44,0.30526,0.20853,1.00265,10.1837,0.01429,0.000353478,0.000353478,0.000353478
28,252.627,1.23313,5.78689,0.01117,0.2404,0.44,0.30526,0.20853,1.00265,10.1837,0.01429,0.000348765,0.000348765,0.000348765
29,262.105,1.15161,8.8771,0.02313,0.21373,0.52,0.38527,0.27879,0.97263,10.1176,0.01431,0.000344053,0.000344053,0.000344053
30,270.934,1.7315,5.99985,0.01795,0.21373,0.52,0.38527,0.27879,0.97263,10.1176,0.01431,0.00033934,0.00033934,0.00033934
31,279.758,1.61768,6.2402,0.01796,0.21373,0.52,0.38527,0.27879,0.97263,10.1176,0.01431,0.000334628,0.000334628,0.000334628
32,288.696,1.40288,5.44377,0.01352,0.3091,0.76,0.52477,0.38138,1.02372,10.0907,0.01581,0.000329916,0.000329916,0.000329916
33,297.669,1.29326,5.69659,0.01398,0.3091,0.76,0.52477,0.38138,1.02372,10.0907,0.01581,0.000325203,0.000325203,0.000325203
34,306.483,1.24645,5.76918,0.01769,0.3091,0.76,0.52477,0.38138,1.02372,10.0907,0.01581,0.000320491,0.000320491,0.000320491
35,315.105,1.53587,5.42813,0.01668,0.3091,0.76,0.52477,0.38138,1.02372,10.0907,0.01581,0.000315778,0.000315778,0.000315778
36,324.069,1.47266,8.19211,0.02139,0.20481,0.86,0.64629,0.49529,1.07293,10.0154,0.01746,0.000311066,0.000311066,0.000311066
37,332.705,1.43318,9.2308,0.0191,0.20481,0.86,0.64629,0.49529,1.07293,10.0154,0.01746,0.000306354,0.000306354,0.000306354
38,341.411,1.26605,5.78558,0.01741,0.20481,0.86,0.64629,0.49529,1.07293,10.0154,0.01746,0.000301641,0.000301641,0.000301641
39,350.144,1.02188,6.11078,0.01278,0.12825,0.91,0.65314,0.41877,1.05826,9.92748,0.0161,0.000296929,0.000296929,0.000296929
40,358.704,1.27568,5.49348,0.01843,0.12825,0.91,0.65314,0.41877,1.05826,9.92748,0.0161,0.000292216,0.000292216,0.000292216
41,367.629,1.16042,5.7132,0.01167,0.12825,0.91,0.65314,0.41877,1.05826,9.92748,0.0161,0.000287504,0.000287504,0.000287504
42,376.131,1.74129,6.30021,0.01743,0.12825,0.91,0.65314,0.41877,1.05826,9.92748,0.0161,0.000282792,0.000282792,0.000282792
43,385.123,1.29978,7.16445,0.01999,0.08222,0.91,0.66497,0.4672,1.05269,9.80637,0.01617,0.000278079,0.000278079,0.000278079
44,394.472,0.94103,5.4634,0.01005,0.08222,0.91,0.66497,0.4672,1.05269,9.80637,0.01617,0.000273367,0.000273367,0.000273367
45,403.576,1.01583,5.70843,0.01205,0.08222,0.91,0.66497,0.4672,1.05269,9.80637,0.01617,0.000268654,0.000268654,0.000268654
46,412.512,1.42199,6.73548,0.02558,0.06843,0.91,0.68452,0.52332,1.12131,9.64762,0.01893,0.000263942,0.000263942,0.000263942
47,421.228,1.03188,6.36579,0.01483,0.06843,0.91,0.68452,0.52332,1.12131,9.64762,0.01893,0.00025923,0.00025923,0.00025923
48,430.311,0.96819,6.93682,0.01408,0.06843,0.91,0.68452,0.52332,1.12131,9.64762,0.01893,0.000254517,0.000254517,0.000254517
49,439.057,1.64552,6.88992,0.0162,0.06843,0.91,0.68452,0.52332,1.12131,9.64762,0.01893,0.000249805,0.000249805,0.000249805
50,448.607,1.74579,7.38246,0.02711,0.90149,0.1938,0.73324,0.57075,1.10542,9.36828,0.01843,0.000245092,0.000245092,0.000245092
51,457.496,1.47602,7.32033,0.02336,0.90149,0.1938,0.73324,0.57075,1.10542,9.36828,0.01843,0.00024038,0.00024038,0.00024038
52,466.667,0.92439,5.50702,0.01116,0.90149,0.1938,0.73324,0.57075,1.10542,9.36828,0.01843,0.000235668,0.000235668,0.000235668
53,475.664,1.05919,5.13029,0.0129,0.91568,0.47393,0.75608,0.58451,1.13304,9.05941,0.01795,0.000230955,0.000230955,0.000230955
54,486.199,0.88868,6.10646,0.01107,0.91568,0.47393,0.75608,0.58451,1.13304,9.05941,0.01795,0.000226243,0.000226243,0.000226243
55,495.46,1.1688,5.6802,0.01295,0.91568,0.47393,0.75608,0.58451,1.13304,9.05941,0.01795,0.00022153,0.00022153,0.00022153
56,504.406,1.04021,5.34898,0.01167,0.91568,0.47393,0.75608,0.58451,1.13304,9.05941,0.01795,0.000216818,0.000216818,0.000216818
57,513.524,1.02671,5.10762,0.01083,0.84768,0.48974,0.7816,0.59774,1.07924,8.8126,0.01689,0.000212106,0.000212106,0.000212106
58,522.508,1.03633,5.98779,0.01426,0.84768,0.48974,0.7816,0.59774,1.07924,8.8126,0.01689,0.000207393,0.000207393,0.000207393
59,531.253,1.50016,6.93483,0.02383,0.84768,0.48974,0.7816,0.59774,1.07924,8.8126,0.01689,0.000202681,0.000202681,0.000202681
60,540.131,1.19364,5.39978,0.01471,0.82795,0.55814,0.7969,0.59961,1.05905,8.5696,0.01613,0.000197968,0.000197968,0.000197968
61,548.901,1.07807,4.71697,0.01118,0.82795,0.55814,0.7969,0.59961,1.05905,8.5696,0.01613,0.000193256,0.000193256,0.000193256
62,557.569,1.40262,6.64878,0.02449,0.82795,0.55814,0.7969,0.59961,1.05905,8.5696,0.01613,0.000188544,0.000188544,0.000188544
63,566.079,1.19578,6.63153,0.01805,0.82795,0.55814,0.7969,0.59961,1.05905,8.5696,0.01613,0.000183831,0.000183831,0.000183831
64,574.934,1.41521,5.71806,0.02305,0.78124,0.76,0.83684,0.61502,1.05218,8.39549,0.01664,0.000179119,0.000179119,0.000179119
65,583.685,0.9757,5.31202,0.014,0.78124,0.76,0.83684,0.61502,1.05218,8.39549,0.01664,0.000174406,0.000174406,0.000174406
66,592.368,1.18838,5.72737,0.01228,0.78124,0.76,0.83684,0.61502,1.05218,8.39549,0.01664,0.000169694,0.000169694,0.000169694
67,601.244,1.14838,5.35414,0.01517,0.74279,0.76,0.81083,0.61395,1.02958,8.24393,0.01636,0.000164982,0.000164982,0.000164982
68,609.931,1.25531,4.72535,0.01578,0.74279,0.76,0.81083,0.61395,1.02958,8.24393,0.01636,0.000160269,0.000160269,0.000160269
69,618.677,1.23057,5.51392,0.0139,0.74279,0.76,0.81083,0.61395,1.02958,8.24393,0.01636,0.000155557,0.000155557,0.000155557
70,627.359,1.17353,5.28792,0.01605,0.74279,0.76,0.81083,0.61395,1.02958,8.24393,0.01636,0.000150844,0.000150844,0.000150844
71,636.414,1.14768,5.77841,0.01792,0.79668,0.76,0.81512,0.62656,1.00563,8.10637,0.0152,0.000146132,0.000146132,0.000146132
72,645.711,1.01043,5.36485,0.01638,0.79668,0.76,0.81512,0.62656,1.00563,8.10637,0.0152,0.00014142,0.00014142,0.00014142
73,654.658,1.21578,5.21364,0.01311,0.79668,0.76,0.81512,0.62656,1.00563,8.10637,0.0152,0.000136707,0.000136707,0.000136707
74,663.807,1.01124,4.61966,0.01271,0.85705,0.76,0.82247,0.63678,1.00416,8.01961,0.01509,0.000131995,0.000131995,0.000131995
75,672.323,1.28371,5.14664,0.01627,0.85705,0.76,0.82247,0.63678,1.00416,8.01961,0.01509,0.000127282,0.000127282,0.000127282
76,680.866,1.07546,4.6353,0.01201,0.85705,0.76,0.82247,0.63678,1.00416,8.01961,0.01509,0.00012257,0.00012257,0.00012257
77,689.545,1.07141,5.32019,0.01426,0.85705,0.76,0.82247,0.63678,1.00416,8.01961,0.01509,0.000117858,0.000117858,0.000117858
78,698.525,0.97744,6.34387,0.01329,0.89084,0.7494,0.82316,0.61754,0.95052,7.93326,0.01389,0.000113145,0.000113145,0.000113145
79,707.079,1.06947,5.60712,0.01147,0.89084,0.7494,0.82316,0.61754,0.95052,7.93326,0.01389,0.000108433,0.000108433,0.000108433
80,715.624,1.28782,5.12873,0.01753,0.89084,0.7494,0.82316,0.61754,0.95052,7.93326,0.01389,0.00010372,0.00010372,0.00010372
81,724.351,1.0856,4.39104,0.01078,0.8883,0.75299,0.81028,0.61176,0.94119,7.88371,0.01432,9.9008e-05,9.9008e-05,9.9008e-05
82,732.774,1.0114,5.88222,0.01257,0.8883,0.75299,0.81028,0.61176,0.94119,7.88371,0.01432,9.42956e-05,9.42956e-05,9.42956e-05
83,741.247,0.99886,5.92977,0.01206,0.8883,0.75299,0.81028,0.61176,0.94119,7.88371,0.01432,8.95832e-05,8.95832e-05,8.95832e-05
84,749.67,1.03048,5.12972,0.00811,0.8883,0.75299,0.81028,0.61176,0.94119,7.88371,0.01432,8.48708e-05,8.48708e-05,8.48708e-05
85,758.41,0.80603,5.82985,0.00815,0.81905,0.72,0.81064,0.61276,0.91526,7.84446,0.01435,8.01584e-05,8.01584e-05,8.01584e-05
86,767.211,1.4523,8.57091,0.02855,0.81905,0.72,0.81064,0.61276,0.91526,7.84446,0.01435,7.5446e-05,7.5446e-05,7.5446e-05
87,775.956,1.24214,5.13443,0.0145,0.81905,0.72,0.81064,0.61276,0.91526,7.84446,0.01435,7.07336e-05,7.07336e-05,7.07336e-05
88,784.854,1.2166,4.52868,0.01468,0.92213,0.70781,0.82729,0.62293,0.91686,7.79749,0.01443,6.60212e-05,6.60212e-05,6.60212e-05
89,793.439,1.15485,6.09928,0.01704,0.92213,0.70781,0.82729,0.62293,0.91686,7.79749,0.01443,6.13088e-05,6.13088e-05,6.13088e-05
90,802.056,0.89362,5.52125,0.01032,0.92213,0.70781,0.82729,0.62293,0.91686,7.79749,0.01443,5.65964e-05,5.65964e-05,5.65964e-05
91,811.269,1.06697,8.11753,0.01534,0.92213,0.70781,0.82729,0.62293,0.91686,7.79749,0.01443,5.1884e-05,5.1884e-05,5.1884e-05
